,Words,Frequency
793,"['Fred', 'kommen', 'Bett']",1
794,"['Bett', 'Kornfeld']",8
795,['Traumboy'],5
796,"['Sand', 'Auge']",18
797,"['Ti', 'amo']",27
798,"['gut', 'Tag', 'Leben']",2
799,"['Rudi', 'Völler']",4
800,"['Verliebe', 'verloren', 'vergessen', 'verzeih']",15
801,"['Sommer', 'Stadt']",4
802,['Jessica'],5
803,"['Tu', 'doch']",6
804,"['Resi', 'Bring', 'Bier']",3
805,['Generation'],1
806,"['', 'nackt', 'Friseuse']",7
807,"['ganz', 'doll', 'mögen']",16
808,['Kauf'],6
809,"['Feuer', 'frei']",4
810,"['immer', 'glauben']",1
811,"['Fuffies', 'Club']",6
812,['schade'],1
813,['gefeuert'],11
814,['Fieber'],8
815,"['', 'Liebe']",8
816,"['Anfang', 'Ende']",4
817,['weißen'],26
818,['Schule'],6
819,"['Ibiza', 'Teil', '', 'brauchst']",2
820,"['Nothing', 'Gonna', 'Change', 'My', 'Love', 'For', 'You']",4
821,"['This', 'Boy', 'Is', 'Tocotronic']",1
822,"['nie', 'wieder', 'hier']",2
823,"['schön', 'Haus']",4
824,"['Morgen', 'Freeman']",1
825,"['viel', 'jung']",5
826,"['entschuldigen', 'kenn']",5
827,['Danielle'],11
828,"['Liebe', 'bleiben']",4
829,"['Sladdgo', 'woll']",1
830,"['Ti', 'amo', 'Maria']",1
831,['vorübergeh'],1
832,['Freund'],12
833,"['zuviel', 'verlangen']",3
834,"['Mädchen', 'Athen']",11
835,"['eigentlich', 'gut']",6
836,"['Regen', 'Meer']",5
837,['November'],1
838,"['ne', 'Family']",1
839,"['gut', 'Morgen', 'Sonnenschein']",2
840,"['This', 'Is', 'How', 'We', 'Do', 'It']",4
841,"['bringstn', 'Liebe']",4
842,"['de', 'lustig', 'Holzhackerleit']",5
843,"['Electro', 'Ghetto']",4
844,['Afrika'],1
845,"['Playa', 'Blanca']",2
846,"['Clap', 'Clap', 'Song']",1
847,"['Dieb', 'kommen', 'Abend']",1
848,"['Lust', 'überleben']",3
849,['Gewinner'],27
850,"['Komm', 'doch', 'heute', 'Nacht']",9
851,"['Berlin', 'Berlin', 'Mauer', 'weg']",5
852,"['Hoffnung', 'sterben', 'zuletzt']",5
853,"['nemm', 'met']",1
854,['bleiben'],14
855,"['nun', 'sag', 'schon', 'Adieu']",13
856,['Lady'],2
857,"['Spring', 'Schatten', 'Tommy']",6
858,"['Holzmichel', 'Antwort']",2
859,"['wär', 'mei', 'Leben']",8
860,['Chaos'],9
861,"['schwein', 'Ragga']",1
862,"['Adios', 'Marlena']",3
863,"['verliebt', 'Fischer']",5
864,"['Schlaf', 'heuen', 'Nacht']",4
865,"['kalt', 'Zimmer']",6
866,['Gigant'],1
867,"['doch', 'Träne', 'niemals', 'sehen']",1
868,"['Don', 'Pedro', 'Küsschen', 'Ehre']",9
869,"['Martin', 'ne', 'Martin', 'My']",24
870,"['Hallo', 'Alf', 'hier', 'Rhonda']",2
871,['schwer'],11
872,"['Hitze', 'Nacht']",1
873,"['Servus', 'Wadln']",1
874,"['Marlee', '']",1
875,"['wahr', 'Liebe']",1
876,"['je', 'aime', 'mon', 'amour', 'vieler', 'Stunde', 'Nacht']",7
877,"['nie', 'mehr', 'Bolero']",8
878,"['rot', 'Rose', 'rot', 'Lippe', 'rot', 'Wein']",2
879,"['Radetzki', 'Rap']",2
880,"['frei', 'heißen', 'allein']",7
881,"['Flieg', 'Stern']",1
882,['Schweiß'],1
883,"['Holland', 'fahr', 'WM']",1
884,"['Viva', 'Colonia']",11
885,"['nur', 'gelieh']",6
886,['Fliege'],1
887,"['Hey', 'Kleiner', 'spielen', 'wohl']",1
888,"['Babies', 'krieg', 'immer', 'noch']",1
889,"['jetzt', 'gehen', 'Party', 'richtig', 'los']",2
890,"['kommen', 'Liebe']",5
891,['Reimemonster'],7
892,['eins'],4
893,"['zuhause', 'warten', 'Natascha']",1
894,"['geh', 'heute', 'Nacht']",9
895,"['grün', 'Brille']",4
896,"['Hurra', 'Hurra', 'Schule', 'brennen']",20
897,"['Flieger', 'grüß', 'Sonne']",10
898,"['phänomenal', 'egal']",1
899,"['Yo', 'schaffen']",2
900,"['', 'Stunde']",15
901,"['Lama', 'Yokohama']",12
902,"['Uhr', 'gehen', 'Kannst', 'noch', 'bleiben']",8
903,['groß'],4
904,"['Mauer', 'The', 'Dungeon', 'Keeper']",2
905,"['stumm', 'Schrei']",1
906,['Optimist'],8
907,"['erst', 'siebzehn', 'neu', 'Stadt']",1
908,"['Istanbul', 'weit']",3
909,"['Splish', 'Splash', 'Badewannen', 'Party']",4
910,['böse'],1
911,"['nur', 'Stern']",1
912,"['Stern', 'steh', 'gut']",8
913,['Darling'],5
914,"['Schottenrock', 'gar']",9
915,['Bereit'],2
916,"['Geil', 'Jahr']",4
917,"['würd', 'immer', 'wieder', 'tun']",4
918,"['Willst', 'gehn']",13
919,"['Let', 'There', 'Be', 'Rock']",1
920,"['Halt', 'fest']",32
921,"['lieben', 'sehr']",2
922,"['Love', 'Dreamer']",11
923,['Desperado'],3
924,['Strohblumen'],6
925,"['tausch', 'Sommer', '', 'Tag', 'Regen']",6
926,"['Jes', 'douce', 'et', 'innocent']",11
927,"['Schri', 'Schra', 'Schrödi']",5
928,['Jesus'],4
929,"['Frau', 'lieben']",11
930,['Typ'],13
931,"['Million', 'Frau', 'lieben', 'doch', 'Frau', 'erkennen']",4
932,"['', 'Gebot']",5
933,"['irgendwann', 'irgendwo', 'irgendwie', 'seh', 'wieder']",18
934,"['gib', 'Ziel', 'niemals']",3
935,['Tag'],97
936,"['Herz', 'können', 'reparieren']",14
937,"['Ende', 'nur', 'Wurst', 'zwei']",2
938,"['Cora', 'kommen', 'Haus']",9
939,"['Nacht', 'Christina', 'fortlaufen']",2
940,['Widerstand'],1
941,"['Co', 'Co', 'ho', 'Chi', 'kaka', 'ho']",3
942,"['hier', 'Blind']",3
943,"['Willy', 'Klein', 'Fernsehmann']",13
944,['Lass'],1
945,['Eisenherz'],6
946,"['ewig', 'Feuer']",8
947,['Monstershit'],4
948,"['erinnerst', 'Liebe']",20
949,"['Dreckig', 'Tight']",1
950,"['zwei', 'jung', 'Mensch']",2
951,"['Tag', 'mehr', 'immer', 'Solang', 'lieben']",1
952,['Porzellan'],2
953,"['Lied', 'Kaninchen']",1
954,"['Verlorenes', 'Paradies']",13
955,"['Bye', 'Bye', 'Bel', 'Ami']",5
956,"['Halten', 'Welt']",9
957,"['Liebe', 'nur']",1
958,"['Olé', 'España']",14
959,"['Tanz', 'heuen', 'Nacht']",1
960,['Verlier'],3
961,"['All', '', 'One']",14
962,"['NDW', '']",15
963,"['Dancehall', 'Caballero']",4
964,['Weihnachtsbäckerei'],10
965,"['Morgen', 'danach']",1
966,"['schwarz', 'Puppe']",1
967,"['aufstehn', 'aufeinander', 'zugehn']",2
968,"['nur', 'allein']",2
969,['manchmal'],1
970,"['Lang', 'Ewigkeit']",1
971,"['drei', 'Haar', 'Brust']",1
972,['können'],4
973,"['dick', 'Mädchen', 'schön', 'Name']",1
974,"['Flugzeug', 'Bauch', 'Live']",5
975,"['Bataillon', 'amour']",5
976,"['ganz', 'normal', 'Tag']",2
977,['Schwein'],2
978,"['', 'Tag']",8
979,"['leben', '']",16
980,"['Tierischer', 'Tango', 'Schatz', 'heuen', 'Schwein']",9
981,"['Gott', 'Mann', 'tun']",1
982,"['Engel', 'Teufel', 'Luisa']",2
983,['weiber'],9
984,"['Amo', 'vitam']",3
985,"['ändern', 'daran']",14
986,"['Wahlkampf', 'Zonenmädche']",4
987,['Lotosblume'],7
988,"['Jump', 'Jump', 'DJ', 'Tomekk', 'kommen']",14
989,['gute'],38
990,"['weiss', 'Licht']",1
991,"['sofort', 'Ende']",7
992,['Toccata'],12
993,"['Zieh', 'klein', 'Maus']",1
994,"['Balalaika', 'König', 'Jamaika']",3
995,"['Super', 'Sommer']",2
996,['verschwend'],1
997,['sieben'],1
998,['Dienen'],17
999,"['Welt', 'stehen', 'still']",9
1000,['Monsun'],19
1001,"['nachts', 'hör', 'manchmal', 'weinen']",2
1002,['Schrei'],16
1003,"['Guck', 'My']",5
1004,['aufstehn'],13
1005,"['Engel', 'fliegen', 'einsam', '']",14
1006,"['Leb', 'Tag']",3
1007,"['Brief', 'nie', 'schreiben']",3
1008,['zehn'],3
1009,['Kyrila'],5
1010,['Fruchtalarm'],5
1011,['Umarme'],1
1012,"['Captain', 'Starlight']",21
1013,['Topmodel'],6
1014,"['Heut', 'abend', 'Kopfweh']",1
1015,['Benzin'],26
1016,"['Steh', 'wieder']",8
1017,"['Schutzengel', 'bleib']",8
1018,"['letzter', 'Tag']",10
1019,['Weltmeister'],1
1020,"['müssen', 'kesseln']",7
1021,"['nur', 'EP']",6
1022,"['Sandy', 'Goodbye']",1
1023,['Chilln'],11
1024,"['Mama', 'Ana', 'Ahabak', '']",14
1025,['Hass'],5
1026,"['Nacht', 'allein']",4
1027,"['Sehnsucht', 'brennen']",1
1028,"['gut', 'Freund']",3
1029,"['Mann', 'Mann']",3
1030,"['eigen', 'Regel']",4
1031,['rosenrot'],6
1032,['endgegn'],11
1033,"['Wurm', 'drin']",8
1034,"['hier', 'Kneipe', 'fühl', 'frei']",5
1035,"['viel', 'viel', 'Herz']",1
1036,"['Tag', 'erwachen']",1
1037,"['Let', 'Go']",2
1038,"['viel', 'bescheiden']",7
1039,"['Club', 'Millionär']",6
1040,['Augenblick'],9
1041,"['Hans', 'Stoffel', 'Schloss', 'fertig']",4
1042,"['Strand', 'Maspalomas']",2
1043,"['Jing', 'Jingeling', 'Weihnachtsschnappi']",5
1044,['Malaika'],3
1045,"['Gangsta', 'Rap']",11
1046,"['Tschernobyl', 'letzter', 'Signal']",8
1047,"['bunt', 'Trümmer']",6
1048,"['', 'German', 'Version']",5
1049,['Spiegel'],14
1050,"['gehst', 'stürzen', 'Himmel']",11
1051,"['Besten', 'sterben', 'jung']",11
1052,"['Engel', 'Nacht']",4
1053,"['hier', 'kommen', 'Alex', 'MTV', 'Unplugged']",1
1054,"['The', 'Grosser']",9
1055,"['liegen', 'arme']",14
1056,"['Santa', 'Lucia', 'Versunk', 'Meer']",1
1057,['verzweifelt'],13
1058,"['Mädchen', 'mach', 'frei']",1
1059,"['Zeile', 'Gold']",10
1060,"['Leben', 'interessiert']",8
1061,"['alleine', 'schaffen']",22
1062,['Schätzelein'],7
1063,"['Klick', 'klack']",13
1064,"['immer', 'willst']",5
1065,"['Freund', 'bleiben']",12
1066,"['singen', 'ganz']",1
1067,['Tiptop'],6
1068,"['Rendezvous', 'lang', 'sehen']",2
1069,['Hija'],4
1070,"['Gott', 'Popstar']",9
1071,"['gib', 'nur', 'bissch']",1
1072,['Virus'],16
1073,"['Schieß', 'Ball', 'Tor']",3
1074,"['alledem', 'tun', 'leid']",5
1075,"['geh', 'Flamme']",14
1076,['Regen'],12
1077,"['Liebe', 'wollen', 'wissen']",5
1078,"['Gott', 'schenk', 'Flügel']",10
1079,['unendlich'],11
1080,"['', 'Sünde']",2
1081,['Wahlkampf'],4
1082,"['können', 'lieben']",1
1083,['Sonnenlicht'],5
1084,"['nie', 'genug']",13
1085,['wirklich'],4
1086,"['letzter', 'Streichholz']",4
1087,"['Tag', 'Schutzumschlag']",5
1088,['Feieralarm'],4
1089,['SOS'],4
1090,"['wollen', 'gehn']",4
1091,['Alarm'],1
1092,"['richtig', 'scheißen', 'ne', 'schön', 'Art', 'Weise']",7
1093,"['Verdamp', 'lang', 'her', 'verdammen', 'lang', 'Single']",1
1094,"['', '', '', '']",34
1095,['Meer'],5
1096,"['Ende', 'Kreis']",2
1097,"['Tanz', 'Moleküle']",19
1098,['drehen'],24
1099,"['Muh', 'Muh', 'Muh']",3
1100,['Gheddo'],11
1101,"['Papa', 'zurück']",4
1102,['prinzesschen'],18
1103,"['Liebe', 'nie', 'enden']",6
1104,"['Springt', 'hoch']",3
1105,"['Çüs', 'jung']",1
1106,['klar'],10
1107,"['Sommer', 'Leben']",15
1108,"['Katharine', 'Katharine']",14
1109,['Danke'],21
1110,['JaJa'],9
1111,"['klingen', 'Liebe']",1
1112,"['Ek', 'Is', 'Back']",4
1113,"['Skyline', 'Bordstein', 'zurück']",7
1114,"['Rosi', 'Mann', 'schwach', '']",5
1115,['Janine'],6
1116,"['können', 'erschießen']",8
1117,['OR'],3
1118,['Scherbenmeer'],6
1119,['Vergiss'],10
1120,"['Freiheit', 'Live']",16
1121,['Komm'],6
1122,"['Cowboy', 'Indianer', 'Remix', '']",1
1123,"['Erinner', 'vergessen']",9
1124,"['Türlich', 'Türlich', 'Word', 'Up']",7
1125,['fick'],7
1126,"['Santamarghuaritanobiledimôntepulciano', 'klein', 'Fischerdorf']",6
1127,"['Schwammalarm', 'Ozean']",1
1128,['Sonnenschein'],6
1129,['Zerriss'],11
1130,['beide'],8
1131,"['Aba', 'Heidschi', 'Bumbeidschi']",1
1132,"['wahr', 'Satan']",1
1133,"['jetzt', 'lo']",1
1134,['sterben'],3
1135,['Strassenjung'],7
1136,['Vendetta'],8
1137,"['schlecht', 'Vorbild']",11
1138,"['gut', 'gehts']",9
1139,"['Dä', 'kölsch', 'Pass']",2
1140,"['Stern', 'Name', 'tragen']",77
1141,"['Sonne', 'Nacht', 'Live']",1
1142,"['Children', 'Of', 'The', 'World']",1
1143,"['Jung', 'willig']",1
1144,"['schön', 'Leben']",1
1145,"['Lied', 'eins', 'Stück', 'Himmel']",10
1146,"['Frau', 'regier', 'Welt']",9
1147,['Lara'],5
1148,"['Ernt', 'säen']",15
1149,"['Lass', 'tanzen']",4
1150,['Nano'],1
1151,['Träumst'],7
1152,['Kind'],11
1153,"['Rapper', 'Deutsch']",1
1154,['Spring'],7
1155,['Seite'],9
1156,"['erster', 'Tran']",6
1157,['Revolution'],5
1158,"['immer', 'noch', 'Stern', 'Part', 'II']",1
1159,"['Mann', 'Sch', 'Sexy']",3
1160,['warten'],2
1161,"['Knut', 'klein', 'Eisbär']",4
1162,"['dick', 'Anna']",7
1163,"['Welt', 'verändern']",4
1164,['Rest'],1
1165,['einfach'],22
1166,['Ichisichisichisich'],1
1167,"['endlich', 'Grund', 'Panik']",1
1168,"['können', 'nix', 'dafür']",12
1169,"['Knut', 'geht', 'gut']",2
1170,"['Pinguin', 'Rap']",4
1171,['bins'],1
1172,['Neustart'],1
1173,"['Heul', 'doch']",14
1174,"['Schau', 'hin']",1
1175,"['Lied', 'drei']",1
1176,"['selber', 'Stern']",35
1177,['Automobil'],2
1178,['liebmichhassmich'],3
1179,"['Stern', 'Stuttgart', 'stehen']",1
1180,"['Heyah', 'Mama']",1
1181,['stark'],30
1182,"['Prison', 'Break', 'Anthem', 'glaub']",16
1183,['Lauta'],3
1184,"['bringen', 'runter']",6
1185,"['sollen', 'bleiben']",37
1186,"['Beweg', 'Arsch']",12
1187,['Roger'],3
1188,"['erster', 'Liebe']",6
1189,"['Mond', 'Ghetto', 'krachen']",1
1190,"['rot', 'Pferd']",1
1191,['verlieren'],12
1192,['Hamma'],25
1193,['Glücksprinzip'],1
1194,"['verdammen', 'leiben']",5
1195,"['Heimweh', 'Insel', 'Joana']",8
1196,['Bedingungslos'],8
1197,['Sommergefühl'],3
1198,['unzertrennlich'],1
1199,"['König', 'Welt']",1
1200,['jung'],9
1201,"['reich', 'Hand']",6
1202,"['Gegenteil', 'Liebe']",6
1203,"['Gisela', 'Isch', 'möschen', 'nischen']",12
1204,['Chica'],4
1205,"['Besonderer', 'Tag']",1
1206,"['Ey', 'DJ']",15
1207,"['wollen', 'leb']",6
1208,"['schön', 'Arsch', 'Welt']",21
1209,['na'],2
1210,"['Lied', 'scheitern']",4
1211,"['Las', 'redn']",16
1212,"['wollen', 'immer']",3
1213,"['nur', 'Liebe', 'weinen']",2
1214,['verstehen'],5
1215,"['leiben', 'immer', 'noch', 'sehr']",1
1216,['Kiel'],1
1217,['Doktorspielen'],13
1218,"['Weihnachtssong', '']",2
1219,"['rot', 'Halsband']",3
1220,"['Deutscha', 'Bad', 'Boy']",3
1221,['Dynamit'],2
1222,['Döner'],8
1223,"['Eskimo', 'Tanz']",1
1224,"['Shaun', 'Schaf']",5
1225,"['Party', 'Hitmix', 'Vol', '']",1
1226,"['Dschungel', 'Wahnsinn']",4
1227,"['Hallo', 'Papi']",4
1228,"['Leben', 'lang']",2
1229,"['Kopf', 'Zahl']",1
1230,"['kummen', 'Allemann', 'vorbei']",1
1231,['Bo'],4
1232,['Weisst'],3
1233,"['Kuschel', 'Song']",18
1234,['Zentimeter'],9
1235,"['Würdest', 'tun']",2
1236,"['Sand', 'Hand']",1
1237,"['Cowboy', 'Indianer', 'Hit', 'Version']",13
1238,['Ozean'],3
1239,"['Omi', 'Hit']",4
1240,"['Bettina', 'zieh', 'bitte']",13
1241,['Porno'],5
1242,['Liebeslied'],2
1243,"['Traum', 'leben', 'ewig']",1
1244,['durchhängst'],9
1245,['Erdbeben'],7
1246,['Nina'],2
1247,"['Held', '']",9
1248,"['bringen', 'heim']",8
1249,"['ganz', 'anders']",6
1250,"['', 'Herz']",1
1251,['Geschichtenhasser'],3
1252,['frei'],1
1253,"['Stern', 'Süden', 'Version', '', '']",4
1254,"['Lass', 'Leben']",1
1255,['Hölle'],1
1256,['leiben'],9
1257,['Herz'],19
1258,"['Stern', 'Deutschland', 'stehen']",2
1259,"['zwei', 'Herz']",4
1260,"['Auge', 'Halt', 'Maul']",11
1261,"['gib', 'Sonne']",21
1262,['Carme'],9
1263,['nein'],6
1264,['Allemann'],2
1265,"['Stern', 'Deutschland', 'stehen', 'Europameister', 'leben']",2
1266,"['Welt', 'noch', 'sehen']",15
1267,"['Held', 'suchen']",8
1268,['neu'],30
1269,"['Junge', 'wär']",5
1270,"['Hörst', 'Regenwürmer', 'husten']",7
1271,"['noch', '', '', 'Jahr']",20
1272,"['blau', 'Flecken']",6
1273,"['weit', 'vorbei']",7
1274,"['Traurig', 'Mädchen']",8
1275,['Labyrinth'],9
1276,['Alleinesein'],5
1277,['Freiheit'],1
1278,"['Drück', '']",5
1279,"['Ching', 'Ching']",7
1280,['Nichimgriff'],1
1281,"['schwarz', 'blau']",15
1282,['Schluss'],16
1283,"['wundervoll', 'Bellissima']",9
1284,['Jungfrauenchor'],4
1285,"['ring', 'frei']",8
1286,['You'],3
1287,"['immer', 'jung']",13
1288,['Strom'],5
1289,['Luftbahn'],3
1290,"['Liebe', 'dritt']",5
1291,['niemals'],1
1292,['Träne'],2
1293,['Glück'],16
1294,['Auflös'],1
1295,['ertrinken'],3
1296,['Amsterdam'],2
1297,['verlieben'],4
1298,['Schäferlied'],10
1299,"['Schnuffel', 'Weihnachtslied']",2
1300,"['letzter', 'Tran']",7
1301,"['denk', 'Weihnachten']",1
1302,"['Scheiss', 'Liebe']",1
1303,"['NaJuCo', 'Colonia']",2
1304,"['Schatz', 'halt', 'Maul']",1
1305,"['Sklavin', 'Liebe']",1
1306,"['schön', 'Tag', 'Fliegerlied']",34
1307,['Eisblume'],15
1308,"['irgendwas', 'bleiben']",28
1309,"['Scheisse', 'lieben']",6
1310,"['darum', 'leben']",9
1311,"['Mach', 'Bibo']",1
1312,['egal'],4
1313,"['Don', 'Know']",1
1314,['bereuen'],12
1315,"['Krieger', 'Licht']",24
1316,['artrechen'],3
1317,"['Sonne', 'raus', 'kommen']",1
1318,"['leben', 'schön']",6
1319,"['Schau', 'Schau']",1
1320,['wiedersehen'],5
1321,"['sing', 'mehr']",2
1322,['Superhelde'],4
1323,['Stadt'],31
1324,"['gehen', 'feiern', 'ganz', 'Nacht']",55
1325,"['Kennst', 'Star']",1
1326,"['Iz', 'On']",6
1327,"['bunt', 'Kuh']",1
1328,"['willst', 'Wäsche']",1
1329,"['Oh', 'Jonny']",13
1330,['irgendwo'],2
1331,"['SAGEN', 'DANKE', 'SCHÖN']",6
1332,"['Kenn', 'Name', 'Scheissegal', 'Besoff']",1
1333,"['wollen', 'nur', 'Stimme', 'hörn']",11
1334,"['Alt', 'Arschloch', 'Liebe']",1
1335,"['schön', 'neu', 'Welt']",19
1336,['wahr'],6
1337,"['bau', 'Schloss']",20
1338,"['wollen', 'immer', 'wieder', 'Fieber', 'spür']",9
1339,"['Isch', 'kandidieren']",1
1340,"['jetzt', 'kommen', 'wieder', 'Sache']",1
1341,"['Amoi', 'seg', 'ma', 'wieder']",26
1342,['Hoffnung'],3
1343,['Disko'],1
1344,['automatisch'],6
1345,"['noch', 'niemals', 'New', 'York']",8
1346,"['Somma', 'Kiez']",11
1347,['Monsta'],29
1348,['eiskalt'],26
1349,"['Chance', 'Gangsta']",2
1350,['Pflaster'],23
1351,['Haifisch'],1
1352,['Hey'],22
1353,['hier'],2
1354,['Louise'],2
1355,"['können', 'gut']",20
1356,"['Dancing', 'Is', 'Like', 'Heaven']",1
1357,"['schenk', 'Herz']",3
1358,['Halte'],3
1359,['Zwei'],9
1360,['Universum'],15
1361,['Hilf'],4
1362,"['Küss', 'halt', 'leiben']",21
1363,"['Uhr', 'Stunde']",1
1364,['HimmelblauPerfektBreit'],1
1365,"['tun', 'wieder', 'weh']",2
1366,"['Disco', 'Pogo']",28
1367,['Halleluja'],3
1368,"['Komm', 'Ruhr']",9
1369,"['', 'Meter', 'geh']",1
1370,"['Gebor', 'leben']",59
1371,"['Komm', 'malen', 'Leben']",1
1372,"['letzter', 'Kuss', 'live']",1
1373,['Spinner'],13
1374,['tanzen'],19
1375,"['Lass', 'nie', 'mehr', 'los', 'MTV', 'Unplugged', 'New', 'York']",7
1376,"['Jein', '']",8
1377,['Flagge'],15
1378,"['geben', 'ruhig', 'Schuld', 'Rest', 'können', 'behalten']",13
1379,"['Rock', 'Scheisse', 'fett']",3
1380,['Atzin'],8
1381,['Suche'],4
1382,"['Lass', 'Liebe', 'regieren']",1
1383,['rot'],2
1384,"['Not', 'Myself', 'Tonight']",3
1385,['Orchester'],3
1386,"['Himmel', 'sollen', 'warten']",13
1387,"['Can', 'Be', 'Tamed']",5
1388,"['', 'gehen', 'nur', 'zurück', 'Anlauf', 'nehmen']",4
1389,"['Traum', 'Afrika']",3
1390,"['Beautiful', 'Monster']",12
1391,"['deutsch', 'Nationalhymne']",1
1392,"['Checker', 'Vollstrecker']",7
1393,"['Fackel', 'Wind', '']",7
1394,['Solala'],1
1395,"['Schland', 'Schland']",6
1396,"['elektrisch', 'Gefühl']",14
1397,"['sollen', 'Mensch', 'ertragen']",9
1398,"['leben', 'Moment']",7
1399,['Verstrahlen'],3
1400,"['nein', 'Mann']",24
1401,"['wollen', 'fliegen']",1
1402,"['immer', 'dunkel']",3
1403,['süchtig'],3
1404,"['Ewigkeit', 'Ewigkeit']",1
1405,"['Zeig', 'tanzen']",1
1406,"['Berlin', 'Most', 'Wanted']",2
1407,"['bitte', 'hör', 'träumen', 'Live']",13
1408,['still'],37
1409,"['Berlin', 'City', 'Girl']",16
1410,['Winter'],15
1411,"['Million', 'Voices', '', 'Seconds']",9
1412,"['wollen', 'feiern']",1
1413,"['Schatzi', 'schenk', 'Foto']",6
1414,"['Wolke', '']",68
1415,['Schiffsverkehr'],6
1416,"['schnell', 'vorbei']",2
1417,"['Dach', 'Berlin']",2
1418,"['Hey', 'woll', 'Eisbärn', 'sehn']",1
1419,"['sollen', 'träumen']",31
1420,"['Strobo', 'Pop']",15
1421,"['Lecker', 'Lecker']",1
1422,"['wahr', 'Aim', 'High']",1
1423,['Frankfurt'],1
1424,"['hart', 'Weg']",1
1425,"['Marry', 'The', 'Night']",13
1426,"['nur', 'Kopf']",22
1427,"['nur', 'noch', 'kurz', 'Welt', 'retten']",37
1428,"['Liebe', 'Gold']",3
1429,"['Wärst', 'immer', 'noch', 'hier']",1
1430,"['BVB', 'Hymne', '']",1
1431,"['Wunderkerze', 'brennen']",5
1432,"['Willst', 'bleiben']",2
1433,"['lieben', 'immer', 'noch']",1
1434,['Eisberg'],1
1435,['laufen'],1
1436,"['sag', 'einfach', 'Ja']",1
1437,['Sprache'],18
1438,['Mikrofon'],1
1439,['davon'],1
1440,"['weit', 'gehen']",1
1441,"['ick', 'lieben']",1
1442,['perfekt'],5
1443,['Echt'],22
1444,"['konntest', 'nur']",1
1445,['Wechselbalg'],1
1446,['Spiegelbild'],1
1447,"['Brenna', 'tuats', 'guat']",4
1448,"['wollen', 'Berlin']",1
1449,"['Eiserner', 'Steg']",15
1450,"['Herz', 'können', 'reparieren', 'MTV', 'Unplugged']",10
1451,"['Lied', 'Vergessen']",2
1452,"['Cello', 'MTV', 'Unplugged']",24
1453,"['Reeperbahn', '', 'What', 'It', 'Like', 'MTV', 'Unplugged']",2
1454,['Apfelbaum'],1
1455,['Phänomen'],1
1456,['Freundschaft'],7
1457,['machen'],1
1458,['Moment'],7
1459,"['Hungry', 'Eyes']",9
1460,"['Morgen', 'immer', 'müde']",13
1461,['Ständertime'],1
1462,['Erwachse'],3
1463,['Aura'],1
1464,['Schee'],1
1465,['Land'],4
1466,"['wilde', 'Ding']",11
1467,"['Geboren', 'frei']",1
1468,['Himmel'],14
1469,"['Song', 'Liam']",8
1470,['verrückt'],2
1471,"['Bück', 'hoch']",17
1472,"['leider', 'Geil', 'leider', 'Geil']",20
1473,"['Dach', 'Welt']",1
1474,['Fallschirm'],8
1475,"['Need', 'Girl', 'Part', '']",3
1476,['ZeiDverschwÄndung'],6
1477,['Easy'],31
1478,"['Licht', 'Stadt']",4
1479,['ja'],14
1480,"['all', 'Augenblick']",1
1481,"['noch', 'Punkrock']",1
1482,"['Borussia', 'schenk', 'Schale']",1
1483,['morgen'],12
1484,"['Alte', 'Fieber']",21
1485,"['draußen', 'Tür']",1
1486,"['Party', 'wollen', 'abgehn']",1
1487,"['Model', 'Superstar']",1
1488,"['final', 'kommen']",2
1489,"['wollen', 'nur', 'Live']",5
1490,"['King', 'Of', 'Raop']",1
1491,"['einmal', 'Welt']",31
1492,"['Ausflug', 'Blaue']",3
1493,"['nur', 'noch', 'Schuh']",2
1494,"['Feind', 'Feind']",1
1495,['zwei'],2
1496,['Gezabel'],1
1497,"['letzter', 'Sommer']",4
1498,"['Schau', 'mehr', 'zurück']",13
1499,"['Donnersong', 'Thund', 'Buddies']",2
1500,"['Fühlt', 'Fliege']",8
1501,"['Lila', 'Wolke']",30
1502,"['können', 'nur', 'Liebe', 'retten']",1
1503,"['Horst', 'Monika']",1
1504,['Mach'],1
1505,"['Wage', 'glauben']",4
1506,"['bestmöglich', 'Versuch']",1
1507,['Augenbling'],28
1508,"['klein', 'Bushido']",1
1509,"['Nimm', 'Leben', 'lass', 'mehr', 'los']",1
1510,"['Unendliches', 'Leben']",1
1511,['Ewigkeit'],1
1512,"['Starting', 'Over']",1
1513,['kommen'],6
1514,"['Bild', 'Kopf']",29
1515,"['fest', 'Liebe']",1
1516,"['Herz', 'brennen', '']",2
1517,['Heimweh'],2
1518,"['raus', 'Nebel']",1
1519,"['Einsamer', 'Stern']",1
1520,"['Drive', 'By']",1
1521,['Komet'],1
1522,"['Berlin', 'Tag', 'Nacht']",1
1523,"['kennen', 'Westen']",1
1524,['Stärke'],7
1525,"['Chabos', 'wissen', 'Babo']",3
1526,"['klein', 'Küken', 'Piept']",10
1527,"['et', 'jeten', 'kei', 'Wood']",4
1528,"['Million', 'Licht']",22
1529,['Schönste'],14
1530,"['Rock', 'mi']",4
1531,"['Liebe', 'Rebellion']",15
1532,"['Waldspaziergang', 'Folge', 'Sohn', 'Leere']",1
1533,"['seiden', 'Faden']",7
1534,"['nie', 'vergessen']",15
1535,['Soldat'],14
1536,"['Himmel', 'Hölle']",5
1537,['Seele'],20
1538,"['Applaus', 'Applaus']",27
1539,"['Rangel', 'Song']",1
1540,"['Summerfeeling', 'purn', 'bräun']",3
1541,['Superstar'],1
